Player1,Player2,Winner,Player1_Name,Player1_Score,Player2_Name,Player2_Score
0,1,I❤️PeakYou,King,3.7273711387254513,I❤️PeakYou,4.113462856828309
0,2,Pila 💙,King,3.7273711387254513,Pila 💙,5.031970148086467
0,3,Cuy-r,King,3.7273711387254513,Cuy-r,5.523747862519908
0,4,BeanLuvAsians,King,3.7273711387254513,BeanLuvAsians,5.542321836818975
0,5,Ramen 🍜,King,3.7273711387254513,Ramen 🍜,4.968339166428539
0,6,TatorTot,King,3.7273711387254513,TatorTot,5.060576130988503
0,7,King,King,3.7273711387254513,I CAME,2.8194070672873335
0,8,Tribe | wBob,King,3.7273711387254513,Tribe | wBob,5.677999152363071
0,9,King,King,3.7273711387254513,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
0,10,miZz,King,3.7273711387254513,miZz,5.819125939849623
0,11,King,King,3.7273711387254513,Paris,3.349591572487394
0,12,Icy❄,King,3.7273711387254513,Icy❄,4.6708499524187195
0,13,King,King,3.7273711387254513,Neivax,3.5186822567282783
0,14,Amiweird?,King,3.7273711387254513,Amiweird?,3.7566639546014646
0,15,NinjaBrawlerXD,King,3.7273711387254513,NinjaBrawlerXD,4.949447286223822
0,16,SamLuvAsians,King,3.7273711387254513,SamLuvAsians,3.7485529678403435
0,17,KABOOM,King,3.7273711387254513,KABOOM,4.230348456593447
0,18,King,King,3.7273711387254513,Feral,0.9239747215935605
0,19,King,King,3.7273711387254513,NIAN,2.036794904452468
0,20,King,King,3.7273711387254513,bloodambusher,2.8609787683106953
0,21,King,King,3.7273711387254513,UC | skittle🤍,1.1209074122340144
0,22,King,King,3.7273711387254513,NotAlan,3.6583189035006862
0,23,L1S|Odin❦,King,3.7273711387254513,L1S|Odin❦,4.434424970712591
0,24,King,King,3.7273711387254513,PapaBoomkids,1.405662593984962
0,25,WaliEast | ➡️,King,3.7273711387254513,WaliEast | ➡️,3.885268193599868
0,26,King,King,3.7273711387254513,Joe The Doe,2.9293903072290677
1,2,Pila 💙,I❤️PeakYou,4.113462856828309,Pila 💙,5.031970148086467
1,3,Cuy-r,I❤️PeakYou,4.113462856828309,Cuy-r,5.523747862519908
1,4,BeanLuvAsians,I❤️PeakYou,4.113462856828309,BeanLuvAsians,5.542321836818975
1,5,Ramen 🍜,I❤️PeakYou,4.113462856828309,Ramen 🍜,4.968339166428539
1,6,TatorTot,I❤️PeakYou,4.113462856828309,TatorTot,5.060576130988503
1,7,I❤️PeakYou,I❤️PeakYou,4.113462856828309,I CAME,2.8194070672873335
1,8,Tribe | wBob,I❤️PeakYou,4.113462856828309,Tribe | wBob,5.677999152363071
1,9,I❤️PeakYou,I❤️PeakYou,4.113462856828309,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
1,10,miZz,I❤️PeakYou,4.113462856828309,miZz,5.819125939849623
1,11,I❤️PeakYou,I❤️PeakYou,4.113462856828309,Paris,3.349591572487394
1,12,Icy❄,I❤️PeakYou,4.113462856828309,Icy❄,4.6708499524187195
1,13,I❤️PeakYou,I❤️PeakYou,4.113462856828309,Neivax,3.5186822567282783
1,14,I❤️PeakYou,I❤️PeakYou,4.113462856828309,Amiweird?,3.7566639546014646
1,15,NinjaBrawlerXD,I❤️PeakYou,4.113462856828309,NinjaBrawlerXD,4.949447286223822
1,16,I❤️PeakYou,I❤️PeakYou,4.113462856828309,SamLuvAsians,3.7485529678403435
1,17,KABOOM,I❤️PeakYou,4.113462856828309,KABOOM,4.230348456593447
1,18,I❤️PeakYou,I❤️PeakYou,4.113462856828309,Feral,0.9239747215935605
1,19,I❤️PeakYou,I❤️PeakYou,4.113462856828309,NIAN,2.036794904452468
1,20,I❤️PeakYou,I❤️PeakYou,4.113462856828309,bloodambusher,2.8609787683106953
1,21,I❤️PeakYou,I❤️PeakYou,4.113462856828309,UC | skittle🤍,1.1209074122340144
1,22,I❤️PeakYou,I❤️PeakYou,4.113462856828309,NotAlan,3.6583189035006862
1,23,L1S|Odin❦,I❤️PeakYou,4.113462856828309,L1S|Odin❦,4.434424970712591
1,24,I❤️PeakYou,I❤️PeakYou,4.113462856828309,PapaBoomkids,1.405662593984962
1,25,I❤️PeakYou,I❤️PeakYou,4.113462856828309,WaliEast | ➡️,3.885268193599868
1,26,I❤️PeakYou,I❤️PeakYou,4.113462856828309,Joe The Doe,2.9293903072290677
2,3,Cuy-r,Pila 💙,5.031970148086467,Cuy-r,5.523747862519908
2,4,BeanLuvAsians,Pila 💙,5.031970148086467,BeanLuvAsians,5.542321836818975
2,5,Pila 💙,Pila 💙,5.031970148086467,Ramen 🍜,4.968339166428539
2,6,TatorTot,Pila 💙,5.031970148086467,TatorTot,5.060576130988503
2,7,Pila 💙,Pila 💙,5.031970148086467,I CAME,2.8194070672873335
2,8,Tribe | wBob,Pila 💙,5.031970148086467,Tribe | wBob,5.677999152363071
2,9,Pila 💙,Pila 💙,5.031970148086467,Q҉W҉E҈R҉T҉Y҉,3.630085372641006
2,10,miZz,Pila 💙,5.031970148086467,miZz,5.819125939849623
2,11,Pila 💙,Pila 💙,5.031970148086467,Paris,3.349591572487394
2,12,Pila 💙,Pila 💙,5.031970148086467,Icy❄,4.6708499524187195
2,13,Pila 💙,Pila 💙,5.031970148086467,Neivax,3.5186822567282783
2,14,Pila 💙,Pila 💙,5.031970148086467,Amiweird?,3.7566639546014646
2,15,Pila 💙,Pila 💙,5.031970148086467,NinjaBrawlerXD,4.949447286223822
2,16,Pila 💙,Pila 💙,5.031970148086467,SamLuvAsians,3.7485529678403435
2,17,Pila 💙,Pila 💙,5.031970148086467,KABOOM,4.230348456593447
2,18,Pila 💙,Pila 💙,5.031970148086467,Feral,0.9239747215935605
2,19,Pila 💙,Pila 💙,5.031970148086467,NIAN,2.036794904452468
2,20,Pila 💙,Pila 💙,5.031970148086467,bloodambusher,2.8609787683106953
2,21,Pila 💙,Pila 💙,5.031970148086467,UC | skittle🤍,1.1209074122340144
2,22,Pila 💙,Pila 💙,5.031970148086467,NotAlan,3.6583189035006862
2,23,Pila 💙,Pila 💙,5.031970148086467,L1S|Odin❦,4.434424970712591
2,24,Pila 💙,Pila 💙,5.031970148086467,PapaBoomkids,1.405662593984962
2,25,Pila 💙,Pila 💙,5.031970148086467,WaliEast | ➡️,3.885268193599868
2,26,Pila 💙,Pila 💙,5.031970148086467,Joe The Doe,2.9293903072290677
3,4,BeanLuvAsians,Cuy-r,5.523747862519908,BeanLuvAsians,5.542321836818975
